THIS IS A SAMPLE DATA SET TO SHOW THE STRUCTURE OF THE OUTPUT 

Phase,Trial,Cue,Target,Type,Response,Accuracy,Confidence,RT,Context,Identification,Gist
Learning,1,Cactus,17.jpg,think,17.jpg,1.0,,0.36937050000051386,,,
Learning,2,Calculator,3.jpg,think,40.jpg,0.0,,0.1063720000001922,,,
Learning,3,Parachute,25.jpg,nothink,93.jpg,0.0,,0.16066400000090653,,,
Learning,4,Firework,94.jpg,bystander,94.jpg,1.0,,0.14776549999987765,,,
Learning,5,Telescope,27.jpg,nothink,91.jpg,0.0,,0.24336360000052082,,,
Learning,6,Oasis,75.jpg,filler,52.jpg,0.0,,0.21583290000126,,,
Learning,7,Coconut,6.jpg,think,21.jpg,0.0,,0.1441264000004594,,,
Learning,8,Scissors,89.jpg,bystander,65.jpg,0.0,,0.123377599999003,,,
Learning,9,Volcano,21.jpg,nothink,19.jpg,0.0,,0.18640720000075817,,,
Learning,10,Satellite,20.jpg,think,36.jpg,0.0,,0.1339981999990414,,,
Learning,11,Vortex,108.jpg,bystander,74.jpg,0.0,,0.0839639999994688,,,
Learning,12,Pillow,14.jpg,think,41.jpg,0.0,,0.11454530000082741,,,
Learning,13,Candle,85.jpg,bystander,19.jpg,0.0,,0.0554692999994586,,,
Learning,14,Spectrum,107.jpg,bystander,31.jpg,0.0,,0.06985710000117251,,,
Learning,15,Violin,11.jpg,think,9.jpg,0.0,,0.15705089999937627,,,
Learning,16,Marble,72.jpg,filler,16.jpg,0.0,,0.06155819999912637,,,
Learning,17,Eclipse,63.jpg,filler,43.jpg,0.0,,0.12842110000019602,,,
Learning,18,Eagle,36.jpg,nothink,49.jpg,0.0,,0.09647649999897112,,,
Learning,19,Teapot,26.jpg,nothink,76.jpg,0.0,,0.0899332000008144,,,
Learning,20,Shovel,90.jpg,bystander,103.jpg,0.0,,0.12996089999978722,,,
Learning,21,Whistle,35.jpg,nothink,35.jpg,1.0,,0.07680609999988519,,,
Learning,22,Ladder,54.jpg,baseline,18.jpg,0.0,,0.07223469999917143,,,
Learning,23,Pancake,77.jpg,filler,77.jpg,1.0,,0.11174550000032468,,,
Learning,24,Wax,79.jpg,filler,67.jpg,0.0,,0.04658270000072662,,,
Learning,25,Oxygen,55.jpg,baseline,55.jpg,1.0,,0.09584070000164502,,,
Learning,26,Feather,68.jpg,filler,28.jpg,0.0,,0.12134929999956512,,,
Learning,27,Toothbrush,48.jpg,baseline,69.jpg,0.0,,0.08300200000121549,,,
Learning,28,Chameleon,44.jpg,baseline,44.jpg,1.0,,0.03826960000151303,,,
Learning,29,Thunder,82.jpg,bystander,103.jpg,0.0,,0.13934359999984736,,,
Learning,30,Saxophone,30.jpg,nothink,44.jpg,0.0,,0.05213970000113477,,,
Learning,31,Sunflower,64.jpg,filler,67.jpg,0.0,,0.06393610000122862,,,
Learning,32,Banana,15.jpg,think,88.jpg,0.0,,0.12805970000044908,,,
Learning,33,Screwdriver,66.jpg,filler,66.jpg,1.0,,0.060151500001666136,,,
Learning,34,Puzzle,32.jpg,nothink,44.jpg,0.0,,0.03442899999936344,,,
Learning,35,Crown,92.jpg,bystander,41.jpg,0.0,,0.12874669999837351,,,
Learning,36,Helmet,84.jpg,bystander,9.jpg,0.0,,0.055925200000274344,,,
Learning,37,Harmony,5.jpg,think,89.jpg,0.0,,0.05417450000095414,,,
Learning,38,Sailboat,52.jpg,baseline,101.jpg,0.0,,0.11824449999949138,,,
Learning,39,Rhinoceros,71.jpg,filler,1.jpg,0.0,,0.02545549999922514,,,
Learning,40,Suitcase,42.jpg,baseline,73.jpg,0.0,,0.08235009999953036,,,
Learning,41,Strawberry,38.jpg,nothink,31.jpg,0.0,,0.09773959999984072,,,
Learning,42,Blossom,80.jpg,filler,53.jpg,0.0,,0.017414199999620905,,,
Learning,43,Sandwich,28.jpg,nothink,75.jpg,0.0,,0.08177149999937683,,,
Learning,44,Bucket,96.jpg,bystander,55.jpg,0.0,,0.11516680000022461,,,
Learning,45,Jazz,16.jpg,think,74.jpg,0.0,,0.05749889999970037,,,
Learning,46,Quartz,65.jpg,filler,23.jpg,0.0,,0.04540450000058627,,,
Learning,47,Tunnel,87.jpg,bystander,36.jpg,0.0,,0.1099052000008669,,,
Learning,48,Sapphire,19.jpg,think,71.jpg,0.0,,0.049232400000619236,,,
Learning,49,Magnet,102.jpg,bystander,66.jpg,0.0,,0.03733930000089458,,,
Learning,50,Jupiter,8.jpg,think,8.jpg,1.0,,0.12306840000019292,,,
Learning,51,Pickaxe,86.jpg,bystander,34.jpg,0.0,,0.0427042999999685,,,
Learning,52,Balloon,104.jpg,bystander,33.jpg,0.0,,0.042298800000935444,,,
Learning,53,Rainbow,40.jpg,nothink,40.jpg,1.0,,0.11422619999939343,,,
Learning,54,Compass,7.jpg,think,7.jpg,1.0,,0.03540600000087579,,,
Learning,55,Globe,61.jpg,filler,30.jpg,0.0,,0.040829600000506616,,,
Learning,56,Dragonfly,62.jpg,filler,105.jpg,0.0,,0.12376340000082564,,,
Learning,57,Camera,12.jpg,think,83.jpg,0.0,,0.042226300000038464,,,
Learning,58,Trampoline,69.jpg,filler,104.jpg,0.0,,0.01370169999972859,,,
Learning,59,Pepper,23.jpg,nothink,23.jpg,1.0,,0.12490760000036971,,,
Learning,60,Lantern,81.jpg,bystander,53.jpg,0.0,,0.007006400001046131,,,
Learning,61,Harpoon,78.jpg,filler,78.jpg,1.0,,0.2811187000006612,,,
Learning,62,Mirror,24.jpg,nothink,23.jpg,0.0,,0.2532936999996309,,,
Learning,63,Lemonade,13.jpg,think,108.jpg,0.0,,0.16264309999860416,,,
Learning,64,Meadow,49.jpg,baseline,28.jpg,0.0,,0.16939260000071954,,,
Learning,65,Crayon,60.jpg,baseline,89.jpg,0.0,,0.2144628999994893,,,
Learning,66,Marathon,18.jpg,think,18.jpg,1.0,,0.014212500000212458,,,
Learning,67,Cradle,100.jpg,bystander,105.jpg,0.0,,0.06320950000008452,,,
Learning,68,Mask,97.jpg,bystander,13.jpg,0.0,,0.07983789999889268,,,
Learning,69,Trophy,91.jpg,bystander,91.jpg,1.0,,0.06676510000033886,,,
Learning,70,Raincoat,29.jpg,nothink,84.jpg,0.0,,0.11255870000059076,,,
Learning,71,Zeppelin,76.jpg,filler,22.jpg,0.0,,0.05898650000017369,,,
